name,salary_from,salary_to,salary_currency,area_name,published_at
Сварщик / оператор станка,60000,,RUR,Краснодар,2022-12-18T08:27:04+0300
Стажер-программист 1С,60000,100000,RUR,Самара,2022-12-18T08:12:15+0300
Backend разработчик,3500,5500,USD,Москва,2022-12-18T08:59:17+0300
Инженер QA (Тестировщик),90000,,RUR,Челябинск,2022-12-18T08:14:03+0300
Cпециалист техподдержки,45000,45000,RUR,Новосибирск,2022-12-18T08:07:08+0300
Художник-дизайнер,44000,,RUR,Ярославль,2022-12-18T08:09:33+0300
Корреспондент,50000,,RUR,Санкт-Петербург,2022-12-18T08:32:57+0300
Менеджер проектов/Project manager,,,,Ташкент,2022-12-18T08:56:10+0300
Системный администратор,,,,Санкт-Петербург,2022-12-18T08:55:26+0300
Специалист группы поддержки SAP,40000,,RUR,Кемерово,2022-12-18T08:23:27+0300
Дизайнер / Графический дизайнер,150000,300000,KZT,Караганда,2022-12-18T08:12:32+0300
IT-менеджер,300000,,KZT,Алматы,2022-12-18T08:28:36+0300
Frontend - разработчик (Vue2),250000,300000,KZT,Алматы,2022-12-18T08:31:18+0300
Помощник аналитика,30000,40000,RUR,Сургут,2022-12-18T08:10:44+0300
Разработчик операционной системы РЕД ОС,,,,Москва,2022-12-18T08:50:14+0300
Проектный менеджер/Project Manager,350000,,KZT,Караганда,2022-12-18T08:30:11+0300
Дизайнер в рекламно-производственную компанию,45000,,RUR,Ростов-на-Дону,2022-12-18T08:54:38+0300
Backend разработчик (Программист) Laravel strong junior or middle,350000,700000,KZT,Шымкент,2022-12-18T08:25:25+0300
Главный механик,70000,100000,RUR,Новокуйбышевск,2022-12-18T08:15:50+0300
Электромеханик (производство),65000,,RUR,Екатеринбург,2022-12-18T08:24:20+0300
Менеджер проектов (IT),,,,Новосибирск,2022-12-18T08:23:43+0300
Backend разработчик (Программист) Laravel strong junior or middle,350000,700000,KZT,Астана,2022-12-18T08:25:25+0300
Токарь-расточник,140000,200000,RUR,Москва,2022-12-18T08:23:31+0300
"Инженер-программист С#, NET Framework, WinForms",,,,Санкт-Петербург,2022-12-18T08:47:04+0300
Программист Scada (Скада Masterscada),,,,Санкт-Петербург,2022-12-18T08:51:11+0300
Токарь на ДИП-300,100000,120000,RUR,Санкт-Петербург,2022-12-18T08:13:13+0300
Слесарь–сборщик,,,,Санкт-Петербург,2022-12-18T08:48:39+0300
Консультант службы технической поддержки клиентов (1 линия),60000,,RUR,Владивосток,2022-12-18T08:52:18+0300
Монтажник ОПС,70000,90000,RUR,Екатеринбург,2022-12-18T08:33:29+0300
Frontend - разработчик (Vue2),250000,300000,KZT,Астана,2022-12-18T08:31:18+0300
Рабочий на производство,60000,80000,RUR,Дзержинский,2022-12-18T08:28:50+0300
Системный администратор / IT специалист,,50000,RUR,Тюмень,2022-12-18T08:42:17+0300
VoIP инженер Asterisk,100000,180000,RUR,Москва,2022-12-18T08:42:22+0300
Разработчик C#,,,,Магнитогорск,2022-12-18T08:53:39+0300
Системный администратор/IT специалист,50000,,RUR,Симферополь,2022-12-18T08:56:04+0300
Графический дизайнер,6000000,7000000,UZS,Ташкент,2022-12-18T08:09:11+0300
Системный аналитик IT,80000,150000,RUR,Пермь,2022-12-18T08:44:07+0300
Исследователь-аналитик Центра обследований,300000,,KZT,Астана,2022-12-18T08:45:02+0300
Графический дизайнер,,,,Москва,2022-12-18T08:07:05+0300
Сетевой инженер (Enterprise network),,,,Москва,2022-12-18T08:09:55+0300
Руководитель проекта,90000,,RUR,Сочи,2022-12-18T08:39:10+0300
Программист 1С,180000,,RUR,Новокузнецк,2022-12-18T08:10:14+0300
Печатник на производство фото и сувенирной продукции,30000,45000,RUR,Стерлитамак,2022-12-18T08:17:41+0300
Дизайнер упаковки,57000,,RUR,Краснодар,2022-12-18T08:24:52+0300
"Механик (Воронежская область, жилье предоставляем)",44000,,RUR,Белгород,2022-12-18T08:21:23+0300
Оператор станка (станочник),45000,,RUR,Березовский (Свердловская область),2022-12-18T08:25:14+0300
Оператор на производство / машинист производства,42000,55000,RUR,Новочеркасск,2022-12-18T08:10:59+0300
Механик,44000,,RUR,Бутурлиновка,2022-12-18T08:21:23+0300
Механик,44000,,RUR,Таловая,2022-12-18T08:21:23+0300
Инженер-наладчик станков с ЧПУ,100000,,RUR,Санкт-Петербург,2022-12-18T08:52:42+0300
Фрезеровщик,60000,,RUR,Пермь,2022-12-18T08:01:00+0300
Аудитор Pentest,150000,,RUR,Москва,2022-12-18T08:25:43+0300
Оператор станка с ЧПУ,50000,,RUR,Омск,2022-12-18T08:47:57+0300
Начальник отдела информационных технологий,,,,Хабаровск,2022-12-18T08:24:10+0300
Системный администратор,35000,,RUR,Екатеринбург,2022-12-18T08:49:25+0300
Инженер-электроник,40000,40000,RUR,Самара,2022-12-18T08:51:02+0300
Журналист,26000,,RUR,Ярославль,2022-12-18T08:30:23+0300
Automation QA Engineer,,,,Ташкент,2022-12-18T08:13:54+0300
"Механик (Воронежская область, жилье предоставляем)",44000,,RUR,Курск,2022-12-18T08:21:23+0300
"Специалист по работе с интернет-сервисами, Подработка",25000,25000,RUR,Ульяновск,2022-12-18T08:37:05+0300
Инфраструктурный инженер,,,,Санкт-Петербург,2022-12-18T08:28:37+0300
Консультант службы технической поддержки клиентов (1 линия),50000,,RUR,Великий Новгород,2022-12-18T08:51:08+0300
Разработчик 1С (senior),160000,,RUR,Тюмень,2022-12-18T08:58:15+0300
Разработчик операционной системы РЕД ОС,,,,Муром,2022-12-18T08:50:21+0300
Помощник монтажника,170000,250000,KZT,Алматы,2022-12-18T08:15:50+0300
Технический помощник/ассистент в технический отдел (удаленно),13000,52000,RUR,Москва,2022-12-18T08:07:02+0300
Графический дизайнер,,,,Ташкент,2022-12-18T08:40:19+0300
Техник/Оператор станков с ЧПУ,40000,80000,RUR,Новосибирск,2022-12-18T08:06:17+0300
Оператор станка с ЧПУ,48000,,RUR,Саратов,2022-12-18T08:08:24+0300
Слесарь-ремонтник,,,,Магнитогорск,2022-12-18T08:33:00+0300
С# (ASP.NET/Xamarin) Developer,,,,Бишкек,2022-12-18T08:00:10+0300
Специалист по внедрению информационных систем,,,,Тюмень,2022-12-18T08:07:10+0300
Fashion Designer / Дизайнер одежды / Художник - Модельер,50000,80000,RUR,Новосибирск,2022-12-18T08:16:25+0300
Руководитель IT проекта,60000,,RUR,Саратов,2022-12-18T08:29:07+0300
DevOps инженер облачных решений,,,,Москва,2022-12-18T08:09:55+0300
Программист 1С,170000,,RUR,Москва,2022-12-18T08:47:23+0300
Специалист по сопровождению облачных IT решений,35000,,RUR,Липецк,2022-12-18T08:31:27+0300
Ведущий дизайнер (УПАКОВКА),,,,Краснодар,2022-12-18T08:24:49+0300
"Специалист технической поддержки, 1я линия",40000,52000,RUR,Екатеринбург,2022-12-18T08:41:32+0300
Главный инженер,70000,100000,RUR,Тальменка,2022-12-18T08:36:21+0300
